product_name_clean,date,price,main_category,sub_category,discount
فرازه فيليه دجاج - 900 جرام,2026-05-11,900.0,Fresh Foods,Meat & Poultry,0.0
شامية محشي كرنب - 900 جرام,2026-05-11,900.0,Fresh Foods,Meat & Poultry,0.0
شيش طاووق تمري - 1 كجم,2026-05-11,450.0,Fresh Foods,Meat & Poultry,0.0
بيت كلاوي ضاني,2026-05-11,335.0,Fresh Foods,Meat & Poultry,0.0
دجاجة كاملة فريش,2026-05-11,317.0,Fresh Foods,Meat & Poultry,0.0
عكاوي,2026-05-11,8.0,Fresh Foods,Meat & Poultry,0.0
أجنحة دجاج فريش - 1 كجم,2026-05-11,112.0,Fresh Foods,Meat & Poultry,0.0
شامية مصرية ورق عنب - 900 جرام,2026-05-11,900.0,Fresh Foods,Meat & Poultry,0.0
كبد دجاج فريش - 1 كجم,2026-05-11,172.0,Fresh Foods,Meat & Poultry,0.0
جرين لاين مكعبات لحم بقري - 500 جم,2026-05-11,500.0,Fresh Foods,Meat & Poultry,0.0
شيش طاووق فريش - 1 كجم,2026-05-11,314.0,Fresh Foods,Meat & Poultry,0.0
صدور دجاج بالعظام من فرازه - 900 جرام,2026-05-11,900.0,Fresh Foods,Meat & Poultry,0.0
دجاجة كاملة من تمري - 1100/ 1200 جرام,2026-05-11,1100.0,Fresh Foods,Meat & Poultry,0.0
دبابيس فراخ فرازة - 900 جرام,2026-05-11,900.0,Fresh Foods,Meat & Poultry,0.0
قوانص شهد,2026-05-11,106.0,Fresh Foods,Meat & Poultry,0.0
أوراك دجاج من فرازة - 900 جرام,2026-05-11,900.0,Fresh Foods,Meat & Poultry,0.0
فيليه الدجاج مليكة - 400 جرام,2026-05-11,400.0,Fresh Foods,Meat & Poultry,0.0
كبد وكلاوي وقلب ضاني بلدي,2026-05-11,285.0,Fresh Foods,Meat & Poultry,0.0
كبدة فراخ من فرازة - 900 جرام,2026-05-11,900.0,Fresh Foods,Meat & Poultry,0.0
كبدة دجاج من تمري - 1 كجم,2026-05-11,234.0,Fresh Foods,Meat & Poultry,0.0
دجاج فيليه من كوكي - 400 جرام,2026-05-11,400.0,Fresh Foods,Meat & Poultry,0.0
كبدة دجاج من تمري - 500 جرام,2026-05-11,500.0,Fresh Foods,Meat & Poultry,0.0
فراخ شيش فرازة - 400 جرام,2026-05-11,400.0,Fresh Foods,Meat & Poultry,0.0
أوراك دجاج فريش - 1 كجم,2026-05-11,159.0,Fresh Foods,Meat & Poultry,0.0
كبد وقوانص تمري - 500 جرام,2026-05-11,500.0,Fresh Foods,Meat & Poultry,0.0
صدور دجاج فريش بالعظم,2026-05-11,199.0,Fresh Foods,Meat & Poultry,0.0
